sa2_name_2011,Unemployment_rate,Unemployment,Labour_force
Geraldton - South,3.0,192,"6,426"
Irwin,3.7,73,"1,968"
Meekatharra,8.2,242,"2,934"
Morawa,3.4,96,"2,855"
Northampton - Mullewa - Greenough,4.7,157,"3,320"
Ashburton (WA),1.1,101,"9,310"
East Pilbara,3.5,248,"7,069"
Karratha,1.5,217,"14,293"
Newman,2.7,113,"4,162"
Port Hedland,1.2,45,"3,751"
Roebourne,1.6,85,"5,355"
South Hedland,4.4,313,"7,054"
Albany,8.4,536,"6,409"
Albany Region,4.5,72,"1,616"
Bayonet Head - Lower King,5.8,122,"2,091"
Denmark,6.9,174,"2,535"
Gnowangerup,4.9,74,"1,498"
Katanning,11.7,245,"2,102"
Kojonup,6.4,119,"1,860"
Little Grove - Elleker,4.2,66,"1,566"
McKail - Willyung,8.3,397,"4,775"
Plantagenet,9.0,216,"2,395"
Chittering,3.5,88,"2,546"
Cunderdin,12.1,200,"1,651"
Dowerin,8.1,147,"1,813"
Gingin - Dandaragan,5.4,211,"3,883"
Merredin,7.4,177,"2,408"
Moora,6.2,151,"2,429"
Mukinbudin,5.8,106,"1,833"
Northam,12.6,655,"5,218"
Toodyay,7.6,159,"2,083"
York - Beverley,7.5,160,"2,135"
Brookton,10.2,173,"1,703"
Kulin,3.7,90,"2,454"
Murray,3.7,72,"1,962"
Narrogin,10.3,219,"2,134"
Wagin,4.7,112,"2,406"
Bridgewater - Gagebrook,21.7,556,"2,563"
Brighton - Pontville,5.0,133,"2,660"
Old Beach - Otago,2.4,56,"2,308"
Bellerive - Rosny,4.0,122,"3,088"
Cambridge,2.0,84,"4,232"
Geilston Bay - Risdon,2.5,44,"1,787"
Howrah - Tranmere,2.6,134,"5,127"
Lindisfarne - Rose Bay,3.0,104,"3,432"
Mornington - Warrane,10.8,229,"2,121"
Risdon Vale,13.4,138,"1,030"
Rokeby,15.1,370,"2,451"
South Arm,2.8,66,"2,316"
Austins Ferry - Granton,5.3,109,"2,055"
Berriedale - Chigwell,8.8,225,"2,568"
Claremont (Tas.),8.2,296,"3,600"
